hero,matchup_hero,ally_wins_with,ally_losses_with,ally_win_rate,enemy_wins_against,enemy_losses_against,enemy_win_rate,winrate_into_enemy,total_games_with,total_games_against,popularity_with,popularity_against,total games,total wins,total loss,average_winrate,total wins,total loss,total_games,ally_delta,matchup_average_winrate,occurance,Pairing Score,enemy_delta,enemy_delta2,counter_score,Counter Score,Beater Score
Abathur,Raynor,481.95,652.05,0.425,939.9295,799.0705,0.5405,0.4595,1134,1739,0.01160004145,0.01378792197,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.440605129,0.5122752602,1739,0.2586945842,0.48005355,-31.93126616,0.3968640394,0.2973296982,0.3943238009
Abathur,Rehgar,4285.82,3414.18,0.5566,4269.7857,2857.2143,0.5991,0.4009,7700,7127,0.02463794399,0.02149278479,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5908145882,0.5933137512,7127,0.4407311102,0.4134573212,-139.8764553,1.524688299,0.3054605912,0.903292805
Abathur,Rexxar,164.9884,158.0116,0.5108,413.976,291.024,0.5872,0.4128,323,705,0.0056089536,0.00493795176,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5390247328,0.5677400365,705,0.2705018034,0.4268072325,-117.9558452,0.152866342,0.2361383729,0.6106161206
Abathur,Samuro,1640.0772,1617.9228,0.5034,705.9312,698.0688,0.5028,0.4972,3258,1404,0.003989740667,0.004969040649,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5305466122,0.5516673936,1404,0.3554295955,0.5234295164,37.51470025,0.3333132582,0.3156387059,0.1565774825
Abathur,SgtHammer,155.0169,213.9831,0.4201,767.9628,585.0372,0.5676,0.4324,369,1353,0.002364050882,0.002414570326,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4350510799,0.5376233706,1353,0.2219881048,0.4490206935,-81.85131097,0.2998367371,0.2695192178,0.5448090948
Abathur,Sonya,1117.0964,1271.9036,0.4676,1722.8531,1558.1469,0.5251,0.4749,2389,3281,0.0155379673,0.0146687738,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4893700302,0.5250289619,3281,0.3153737515,0.4977728786,-3.563417812,0.7610850375,0.3337668235,0.3236302078
Abathur,Stitches,1062.9568,1393.0432,0.4328,1674.0465,1766.9535,0.4865,0.5135,2456,3441,0.02473509676,0.02073110702,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4494764659,0.5042449731,3441,0.2906676232,0.5421127485,67.54040986,0.8305728353,0.3656674987,0.06519624747
Abathur,Stukov,1147.9369,1521.0631,0.4301,1657.89,1722.11,0.4905,0.5095,2669,3380,0.02353040234,0.01910412187,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4464016865,0.5001411322,3380,0.2916960546,0.5375368267,60.17213756,0.8125536884,0.3617711807,0.0919713064
Abathur,Sylvanas,1394.8952,1583.1048,0.4684,2940.9016,2337.0984,0.5572,0.4428,2978,5278,0.01426202751,0.01589160341,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.490290683,0.5305421609,5278,0.324792045,0.460896391,-62.693803,1.183030065,0.3279617063,0.5718599281
Abathur,Tassadar,464.0044,553.9956,0.4558,889.0305,875.9695,0.5037,0.4963,1018,1765,0.0121700044,0.015865696,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4758020946,0.5136033437,1765,0.2756169855,0.5223955294,35.85683898,0.4186284318,0.3241557256,0.1667054219
Abathur,TheButcher,295.0092,426.9908,0.4086,474.982,465.018,0.5053,0.4947,722,940,0.003866680484,0.005725536931,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4220822572,0.5174131348,940,0.2342207691,0.5205568618,32.90953006,0.2225856809,0.2985522262,0.1632568737
Abathur,TheLostVikings,66.0066,152.9934,0.3014,824.0276,542.9724,0.6028,0.3972,219,1367,0.002292805513,0.002067411073,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.3083369851,0.5617217408,1367,0.1473982382,0.4093313397,-146.6921072,0.2912113044,0.2460125246,0.757066368
Abathur,Thrall,500.0066,673.9934,0.4259,807.0608,879.9392,0.4784,0.5216,1174,1687,0.009812430374,0.01179305163,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.441626921,0.4982312202,1687,0.2604205239,0.5513564712,82.46116126,0.4105308549,0.3401989886,0.009659687642
Abathur,Tracer,1584.0074,1513.9926,0.5113,782.9682,563.0318,0.5817,0.4183,3098,1346,0.004682763802,0.00617114433,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5395968208,0.5652604262,1346,0.3592243069,0.4330148286,-107.8244708,0.2936597981,0.2597434222,0.6290346405
Abathur,Tychus,859.9536,1098.0464,0.4392,1783.9782,1654.0218,0.5189,0.4811,1958,3438,0.01418430529,0.01857561077,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.456779851,0.5112796726,3438,0.2871406513,0.5049107197,7.857404249,0.8026991963,0.3405367461,0.2837107543
Abathur,Tyrael,917.97,932.03,0.4962,666.9716,547.0284,0.5494,0.4506,1850,1214,0.006289023032,0.005751444338,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5222806299,0.5122280464,1214,0.3259954525,0.4698331392,-48.32567202,0.2744183032,0.2782160232,0.4297034977
Abathur,Tyrande,1130.9206,1112.0794,0.5042,1208.07,1116.93,0.5196,0.4804,2243,2325,0.01449519418,0.01102101091,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5314641043,0.5456093596,2325,0.3398120326,0.5041048806,6.567956597,0.5424409166,0.3237687499,0.2746679126
